id,category,views,likes,comment_count,country
94,Science & Technology,387068475 ,15862742 ,2536935 ,France
95,Science & Technology,1277083447 ,39039385 ,6584944 ,Canada
96,Science & Technology,1284405545 ,26200124 ,3109834 ,United Kingdom
97,Science & Technology,2927667306 ,71269423 ,10477005 ,United States
98,Nonprofits & Activism,1620605 ,41370 ,10379 ,Japan
99,Nonprofits & Activism,1630087 ,25412 ,2757 ,India
100,Nonprofits & Activism,48846236 ,2894009 ,959326 ,Mexico
101,Nonprofits & Activism,57326955 ,5778882 ,1798849 ,France
102,Nonprofits & Activism,112214859 ,10015452 ,3170106 ,Canada
103,Nonprofits & Activism,163328101 ,14449869 ,4731246 ,United States
104,Nonprofits & Activism,351777558 ,24411490 ,7656699 ,United Kingdom
105,Movies,995622 ,24026 ,1425 ,France
106,Movies,17120490 ,252905 ,13979 ,Canada
107,Shows,65436 ,491 ,331 ,Mexico
108,Shows,487960 ,4540 ,869 ,India
109,Shows,537313 ,3088 ,726 ,France
110,Shows,6857299 ,186580 ,15789 ,Canada
111,Shows,28583283 ,836738 ,80957 ,United Kingdom
112,Shows,51501058 ,1082639 ,95117 ,United States
