trending_date,title,channel_title,category_id,tags,views,likes,dislikes,comment_count
17.14.11,Jannat (Full Song) Aatish - Latest Punjabi Song 2017 - New Punjabi Songs 2017 - WHM,White Hill Music,10,Aatish new punjabi song 2017|"latest punjabi songs 2017 Aatish"|"new punjabi songs 2017 Jannat"|"latest punjabi song 2017 Jannat"|"new songs 2017 Aatish"|"latest song 2017 Aatish"|"Aatish"|"punjabi songs 2017 Aatish"|"punjabi music videos Aatish"|"Jannat punjabi song 2017"|"new punjabi songs"|"latest punjabi songs"|"new songs"|"latest songs"|"songs 2017"|"punjabi"|"Aatish songs"|"Jannat by Aatish"|"punjabi song"|"whte hill"|"aatish taare"|"romantic songs punjabi",2348107,32834,710,1743
17.14.11,Renu Desai Gives Rating For Pawan kalyan As Husband | Open Heart With RK | ABN Telugu,ABN Telugu,25,Resnu desai|"actress renu desai"|"pawan kalyan wife renu desai"|"pawan kalyan ex-wife renu desai"|"ABN renu desai interview"|"renu desai open heart with RK"|"renu desai rates pawan kalyan"|"renu desai rates 10 for pawan"|"renu desai rates pawan kalyan as husband"|"renu desai interview"|"RK interview with renu desai"|"renu desai interview with RK"|"ABN"|"ABN Telugu"|"ABN News"|"ABN andhrajyothy"|"ABN andhrajyothi"|"renu desai open heart"|"renu commentson pawa kalayna"|"renu desai interivew",156085,716,53,0
17.14.11,Peehu Srivastav Performs On Daiya Yeh Main kahan Aa Phasi | The Voice India Kids | Episode 1,The Voice India Kids,24,the voice of india|"TVOI"|"the voice of india kids"|"audition"|"singers"|"singing talent"|"kids voice"|"kids singing"|"kids talent"|"Talpa media"|"AndTV"|"&TV",472413,2611,250,174
17.14.11,Rowi Na | Nadha Virender | Official Music Video | Latest Punjabi Songs 2017 | VS Records,VS RECORDS,10,rowi na|"nadha virender"|"prabh grewal"|"latest punjabi songs 2017"|"new punjabi songs 2017"|"best punjabi songs 2017"|"brand new punjabi songs"|"punjabi songs"|"punjabi"|"songs"|"new"|"latest"|"rowi"|"na"|"nadha"|"birender"|"parmish verma"|"parmish"|"punjabi sad songs"|"punjabi love songs"|"punjabi romantic songs"|"new punjabi sad song"|"sad song"|"best sad songs"|"best song of the week",836006,24460,180,594
17.14.11,TYPES OF STUDENTS- | Elvish Yadav |,Elvish yadav,23,TYPES OF STUDENTS ELVISH YADAV|"elvish yadav"|"elvish yadav new video"|"elvish yadav latest video"|"elvish yadav vines"|"elvish yadav videos"|"students video"|"types of students in a class"|"omprakash new song"|"sot lagani hai"|"elvis yadav vines",344545,25717,417,2870
17.14.11,Tiger Zinda Hai | Official Trailer | Salman Khan | Katrina Kaif,YRF,1,Tiger Zinda Hai Trailer|"Tiger Zinda Hai Official Trailer"|"Tiger Zinda Hai Teaser"|"Tiger Trailer"|"Trailer of Tiger Zinda Hai"|"Salman Khan Song"|"Salman Khan Movie Trailer"|"Bollywood Trailer"|"Hindi Trailer"|"Salman Khan Tiger Zinda Hai Trailer"|"Trailer 2017"|"Most Viewed Trailer"|"Official Trailer 2017"|"Salman Katrina Movie"|"Salman Khan Trailer 2017"|"2017 Bollywood Trailer"|"Official Trailer Tiger Zinda Hai"|"Latest Movie Trailer"|"Salman Khan"|"Katrina Kaif"|"Vishal and Shekhar"|"YRF",35885754,829362,61195,101117
17.14.11,Meri Setting Karwado Prank - Bakchodi ki Hadd - TST comment Trolling,TroubleSeekerTeam,23,Prank Call|"Funny Reactions"|"Pranks In India 2017"|"comedy video"|"meri setting karade live"|"Bhai meri bhi setting karwa funny video"|"tst rahul"|"tst rahul prince"|"Pranks in India"|"Prank on Girls"|"girls in love"|"love"|"friendship"|"dost"|"relationship"|"tst latest video"|"pranks"|"pramk on girls"|"funny"|"TroubleSeekerTeam"|"prank on girls"|"best prank on girls"|"best girl pranks"|"girl pranks"|"tst girls prank"|"indian prank"|"language in india"|"indian pranks"|"best indian prank"|"comedy",209599,14070,448,1105
17.14.11,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,24,last week tonight trump presidency|"last week tonight donald trump"|"john oliver trump"|"donald trump",2418783,97187,6146,12703
17.14.11,"Asli Fighter (Okka Ammayi Thappa) 2017 NEW Full Hindi Dubbed Movie | Sundeep Kishan, Nithya Menen",RKD Digital,24,asli fighter|"asli fighter (okka ammayi thappa) 2017 hindi dubbed"|"okka ammayi thappa full movie hindi dubbed"|"sundeep kishan movies in hindi dubbed"|"ravi kishan south movie in hindi"|"nithya menon movies hindi dubbed"|"nithya menen"|"ravi kishan"|"rahul dev"|"south indian movies dubbed in hindi full movie 2017 new"|"latest hindi dubbed movies 2017"|"new release south indian movies dubbed in hindi 2017"|"latest 2017 south indian movies dubbed in hindi",2294242,14960,1361,913
17.14.11,Sudigaali Sudheer Performance | Extra Jabardasth | 10th November 2017 | ETV Telugu,ETV Jabardasth,22,etv shows|"eenadu television"|"padutha theeyaga"|"super2"|"dhee Jodi"|"jabardasth"|"extra jabardsth"|"etv20"|"etv comedy show"|"extra jabardasth"|"naga babu"|"roja"|"anchor anasuya"|"rashmi"|"dhanraj"|"chandra"|"venu"|"chanti"|"dhana dhan dhanraj"|"comedy short films"|"chamak chandra"|"chalaki chanti"|"raghava"|"rocket raghava"|"roller raghu"|"venu wonders"|"comedy skits in telugu"|"telugu comedy tracks"|"kiraak rp",1956925,9504,938,956
