RRinc	Quintile Index(i)	Running POP	pop
534	4	1519.326753	11.4045288
535	4	1522.217288	2.8905358
536	4	1522.819488	0.6022001
538	5	1532.883244	10.0637558
542	5	1557.4598	24.5765556
544	5	1558.190074	0.7302742
546	5	1573.256647	15.066573
549	5	1574.657158	1.4005113
551	5	1576.919818	2.2626595
556	5	1578.941518	2.0217
557	5	1580.323782	1.3822644
559	5	1581.279693	0.955911
560	5	1582.517654	1.2379612
565	5	1587.018233	4.5005782
569	5	1588.103074	1.0848414
575	5	1589.549073	1.445999
576	5	1673.457329	83.908256
582	5	1760.920786	87.4634568
583	5	1761.827995	0.9072091
588	5	1763.726696	1.8987007
595	5	1798.904808	35.178112
597	5	1799.905217	1.0004092
602	5	1799.989582	0.0843651
606	5	1811.394111	11.4045288
607	5	1825.941941	14.54783
609	6	1842.686167	16.7442258
611	6	1842.952914	0.2667474
612	6	1846.086853	3.1339392
616	6	1852.849526	6.7626729
617	6	1855.740062	2.8905358
618	6	1856.342262	0.6022001
620	6	1865.354912	9.0126501
626	6	1865.52965	0.1747383
627	6	1868.773481	3.2438306
628	6	1869.197277	0.4237961
634	6	1871.459937	2.2626595
636	6	1873.57502	2.1150835
641	6	1882.08725	8.51223
643	6	1882.190425	0.1031747
644	6	1894.225568	12.0351431
645	6	1894.67778	0.4522124
647	6	1896.060045	1.3822644
650	6	1980.076092	84.0160471
658	6	1981.95197	1.8758778
660	6	1982.30898	0.3570107
663	6	1982.379117	0.0701363
669	6	1983.335028	0.955911
672	6	1987.561794	4.2267667
676	6	1989.583494	2.0217
681	6	1990.161178	0.5776837
682	6	2002.251764	12.0905864
683	6	2018.99599	16.7442258
685	6	2030.400519	11.4045288
686	6	2031.80103	1.4005113
687	6	2107.173901	75.3728704
698	6	2107.503426	0.3295254
699	7	2142.681538	35.178112
700	7	2144.796679	2.1151406
705	7	2152.992561	8.1958828
708	7	2155.883097	2.8905358
712	7	2170.430927	14.54783
713	7	2172.329628	1.8987007
716	7	2229.422262	57.0926336
720	7	2230.024462	0.6022001
722	7	2237.856791	7.8323298
730	7	2239.301792	1.4450007
733	7	2241.564452	2.2626595
735	7	2244.698391	3.1339392
736	7	2247.862864	3.1644735
738	7	2248.203513	0.3406487
740	7	2251.447344	3.2438306
743	7	2252.40919	0.9618466
747	7	2255.541336	3.1321453
748	7	2264.053566	8.51223
749	7	2347.961822	83.908256
750	7	2349.344086	1.3822644
754	7	2349.957049	0.6129628
755	7	2350.041414	0.0843651
756	7	2365.107987	15.066573
760	7	2365.215778	0.1077911
767	7	2365.523687	0.3079087
771	7	2367.698237	2.17455
773	7	2391.534835	23.8365988
774	7	2394.552665	3.0178292
775	7	2394.991035	0.43837
780	7	2406.395563	11.4045288
781	7	2415.412877	9.0173139
788	7	2415.61813	0.2052524
791	7	2419.463672	3.8455418
794	7	2420.869346	1.405674
795	7	2434.83581	13.9664642
803	7	2436.85751	2.0217
805	7	2437.587784	0.7302742
806	7	2437.65792	0.0701363
809	8	2513.030791	75.3728704
810	8	2521.235463	8.2046722
813	8	2521.813147	0.5776837
819	8	2524.703682	2.8905358
820	8	2525.704092	1.0004092
822	8	2528.996467	3.2923757
823	8	2530.229167	1.2326993
826	8	2565.736804	35.5076374
828	8	2567.851105	2.1143012
835	8	2568.8176	0.9664948
837	8	2576.64993	7.8323298
839	8	2581.150508	4.5005782
848	8	2581.729208	0.5787
