RRinc	Quintile Index(i)	Running POP	pop
82	0	0.8525211	0.8525211
85	0	2.5007576	1.6482365
87	0	3.0197141	0.5189565
99	0	3.1777041	0.15799
104	0	3.3669369	0.1892328
119	0	3.8287614	0.4618245
133	0	5.4769979	1.6482365
136	0	14.7501283	9.2731304
147	0	15.0417849	0.2916566
157	0	96.9589945	81.9172096
165	0	107.4922409	10.5332464
166	0	108.893336	1.4010951
167	0	114.019932	5.126596
174	0	114.177922	0.15799
177	0	115.0304431	0.8525211
178	0	127.7045271	12.674084
180	0	129.3527636	1.6482365
185	0	139.3589956	10.006232
196	0	154.2678585	14.9088629
203	1	219.0346965	64.766838
205	1	219.2239293	0.1892328
207	1	301.1411389	81.9172096
210	1	322.1003853	20.9592464
212	1	331.3735157	9.2731304
213	1	341.9067621	10.5332464
221	1	347.0333581	5.126596
230	1	361.3556786	14.3223205
233	1	362.0463957	0.6907171
235	1	373.0318935	10.9854978
238	1	376.3891066	3.3572131
248	2	458.3063162	81.9172096
255	2	466.1196414	7.8133252
256	2	476.6528878	10.5332464
257	2	476.8108778	0.15799
266	2	489.4849618	12.674084
268	2	494.6115578	5.126596
269	2	587.6546546	93.0430968
277	2	597.6608866	10.006232
280	2	599.6170046	1.956118
281	2	600.4695257	0.8525211
283	2	602.1177622	1.6482365
284	2	602.5795867	0.4618245
285	3	684.4967963	81.9172096
291	3	712.7425883	28.245792
298	3	723.2758347	10.5332464
300	3	735.9499187	12.674084
301	3	736.1391515	0.1892328
303	3	737.5402466	1.4010951
306	3	737.8752466	0.335
314	3	743.0018426	5.126596
315	3	805.8125626	62.81072
316	3	815.8187946	10.006232
321	4	897.7360042	81.9172096
324	4	918.6952506	20.9592464
326	4	929.924499	11.2292484
331	4	935.7817062	5.8572072
336	4	936.951138	1.1694318
337	4	949.625222	12.674084
340	4	963.3497934	13.7245714
343	4	970.5467462	7.1969528
344	4	971.8200871	1.2733409
346	4	973.4683236	1.6482365
352	4	973.6263136	0.15799
355	4	983.6325456	10.006232
357	5	1046.443266	62.81072
360	5	1128.360475	81.9172096
361	5	1133.487071	5.126596
364	5	1134.888166	1.4010951
375	5	1136.844284	1.956118
377	5	1149.518368	12.674084
381	5	1170.477615	20.9592464
387	5	1173.342963	2.8653481
388	5	1183.876209	10.5332464
390	5	1193.14934	9.2731304
392	5	1221.395132	28.245792
395	5	1221.584364	0.1892328
398	5	1231.590596	10.006232
402	5	1232.443118	0.8525211
403	6	1295.253838	62.81072
404	6	1377.171047	81.9172096
410	6	1383.028254	5.8572072
414	6	1388.940612	5.9123579
423	6	1390.588849	1.6482365
425	6	1403.781889	13.1930405
427	6	1405.738007	1.956118
428	6	1407.829819	2.0918122
439	6	1415.930829	8.1010096
440	6	1442.427128	26.4962992
444	7	1452.960375	10.5332464
447	7	1462.966607	10.006232
453	7	1525.777327	62.81072
455	7	1527.437227	1.6599
460	7	1541.884265	14.4470384
461	7	1542.520612	0.636347
464	7	1624.437822	81.9172096
465	7	1624.595812	0.15799
466	7	1630.039184	5.443372
470	8	1658.284976	28.245792
471	8	1659.454407	1.1694318
474	8	1668.727538	9.2731304
477	8	1673.854134	5.126596
487	8	1686.528218	12.674084
492	8	1688.719976	2.191758
493	8	1688.909209	0.1892328
497	8	1694.766416	5.8572072
498	8	1696.167511	1.4010951
500	8	1701.348585	5.1810744
506	8	1703.232513	1.8839278
508	8	1724.653584	21.4210709
513	8	1734.659816	10.006232
514	8	1798.449802	63.7899858
520	8	1808.983048	10.5332464
531	8	1810.631285	1.6482365
533	8	1812.291185	1.6599
539	8	1840.536977	28.245792
541	8	1846.07403	5.5370528
545	8	1846.926551	0.8525211
557	8	1848.646557	1.7200068
562	9	1935.690363	87.0438056
578	9	1944.963493	9.2731304
581	9	1946.364589	1.4010951
585	9	1959.038673	12.674084
588	9	1967.67337	8.634697
590	9	1969.629488	1.956118
591	9	1990.588734	20.9592464
592	9	1996.566064	5.9773296
594	9	2059.376784	62.81072
601	9	2060.546215	1.1694318
602	9	2062.949739	2.4035236
604	9	2063.138972	0.1892328
605	10	2091.542754	28.403782
609	10	2093.202654	1.6599
615	10	2098.430504	5.22785
622	10	2108.436736	10.006232
624	10	2109.127453	0.6907171
627	10	2109.419109	0.2916566
641	10	2110.69245	1.2733409
648	10	2121.225697	10.5332464
650	10	2122.011459	0.7857619
656	10	2128.184858	6.1733998
660	10	2128.646683	0.4618245
674	10	2156.892475	28.245792
